Date_Time,Test_Time(s),Step_Time(s),Step_Index,Cycle_Index,Voltage(V),Current(A),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh)
05/03/2021 17:29:15.202,1.0007,1.0007,1,1,3.332416534,0,0,0,0,0
05/03/2021 17:29:16.202,2.0011,2.0011,1,1,3.332195282,0,0,0,0,0
05/03/2021 17:29:17.203,3.0019,3.0019,1,1,3.331867218,0,0,0,0,0
05/03/2021 17:29:18.203,4.0019,4.0019,1,1,3.332195282,0,0,0,0,0
05/03/2021 17:29:19.203,5.0021,5.0021,1,1,3.332195282,0,0,0,0,0
05/03/2021 17:29:20.203,6.0023,6.0023,1,1,3.331867218,0,0,0,0,0
05/03/2021 17:29:21.204,7.0031,7.0031,1,1,3.332305908,0,0,0,0,0
05/03/2021 17:29:22.204,8.0035,8.0035,1,1,3.332416534,0,0,0,0,0
05/03/2021 17:29:23.205,9.0037,9.0037,1,1,3.332195282,0,0,0,0,0
05/03/2021 17:29:24.205,10.0039,10.0039,1,1,3.332195282,0,0,0,0,0
05/03/2021 17:29:25.205,11.0043,11.0043,1,1,3.332195282,0,0,0,0,0
05/03/2021 17:29:26.205,12.0045,12.0045,1,1,3.331867218,0,0,0,0,0
05/03/2021 17:29:27.205,13.0045,13.0045,1,1,3.332416534,0,0,0,0,0
05/03/2021 17:29:28.205,14.0045,14.0045,1,1,3.332195282,0,0,0,0,0
05/03/2021 17:29:29.206,15.0052,15.0052,1,1,3.332416534,0,0,0,0,0
05/03/2021 17:29:30.207,16.0058,16.0058,1,1,3.332748413,0,0,0,0,0
05/03/2021 17:29:31.207,17.0058,17.0058,1,1,3.332305908,0,0,0,0,0
05/03/2021 17:29:32.207,18.0064,18.0064,1,1,3.332084656,0,0,0,0,0
05/03/2021 17:29:33.208,19.0068,19.0068,1,1,3.331867218,0,0,0,0,0
05/03/2021 17:29:34.209,20.0076,20.0076,1,1,3.331199646,0,0,0,0,0
05/03/2021 17:29:35.209,21.0077,21.0077,1,1,3.332305908,0,0,0,0,0
05/03/2021 17:29:36.209,22.0084,22.0084,1,1,3.332084656,0,0,0,0,0
05/03/2021 17:29:37.210,23.0086,23.0086,1,1,3.332305908,0,0,0,0,0
05/03/2021 17:29:38.210,24.0088,24.0088,1,1,3.33197403,0,0,0,0,0
05/03/2021 17:29:39.211,25.0097,25.0097,1,1,3.332416534,0,0,0,0,0
05/03/2021 17:29:40.211,26.0097,26.0097,1,1,3.332305908,0,0,0,0,0
05/03/2021 17:29:41.211,27.0101,27.0101,1,1,3.33197403,0,0,0,0,0
05/03/2021 17:29:42.211,28.0103,28.0103,1,1,3.331417084,0,0,0,0,0
05/03/2021 17:29:43.212,29.0111,29.0111,1,1,3.331417084,0,0,0,0,0
05/03/2021 17:29:44.212,30.0111,30.0111,1,1,3.332195282,0,0,0,0,0
05/03/2021 17:29:45.212,31.0112,31.0112,1,1,3.331417084,0,0,0,0,0
05/03/2021 17:29:46.212,32.0114,32.0114,1,1,3.332416534,0,0,0,0,0
05/03/2021 17:29:47.213,33.0118,33.0118,1,1,3.331417084,0,0,0,0,0
05/03/2021 17:29:48.213,34.012,34.012,1,1,3.331310272,0,0,0,0,0
05/03/2021 17:29:49.213,35.0122,35.0122,1,1,3.331867218,0,0,0,0,0
05/03/2021 17:29:50.214,36.0126,36.0126,1,1,3.332305908,0,0,0,0,0
05/03/2021 17:29:51.214,37.0127,37.0127,1,1,3.331867218,0,0,0,0,0
05/03/2021 17:29:52.214,38.0129,38.0129,1,1,3.332084656,0,0,0,0,0
05/03/2021 17:29:53.214,39.0133,39.0133,1,1,3.332084656,0,0,0,0,0
05/03/2021 17:29:54.215,40.0136,40.0136,1,1,3.331867218,0,0,0,0,0
05/03/2021 17:29:55.215,41.0137,41.0137,1,1,3.331756592,0,0,0,0,0
05/03/2021 17:29:56.215,42.0141,42.0141,1,1,3.332195282,0,0,0,0,0
05/03/2021 17:29:57.215,43.0142,43.0142,1,1,3.33197403,0,0,0,0,0
05/03/2021 17:29:58.215,44.0144,44.0144,1,1,3.332416534,0,0,0,0,0
05/03/2021 17:29:59.216,45.0146,45.0146,1,1,3.332305908,0,0,0,0,0
05/03/2021 17:30:00.216,46.0154,46.0154,1,1,3.331756592,0,0,0,0,0
05/03/2021 17:30:01.217,47.0156,47.0156,1,1,3.33152771,0,0,0,0,0
05/03/2021 17:30:02.217,48.0158,48.0158,1,1,3.33197403,0,0,0,0,0
05/03/2021 17:30:03.217,49.0159,49.0159,1,1,3.331867218,0,0,0,0,0
05/03/2021 17:30:04.217,50.0159,50.0159,1,1,3.331867218,0,0,0,0,0
05/03/2021 17:30:05.217,51.0163,51.0163,1,1,3.331638336,0,0,0,0,0
05/03/2021 17:30:06.218,52.0165,52.0165,1,1,3.332305908,0,0,0,0,0
05/03/2021 17:30:07.217,53.0165,53.0165,1,1,3.332527161,0,0,0,0,0
05/03/2021 17:30:08.218,54.0167,54.0167,1,1,3.331638336,0,0,0,0,0
05/03/2021 17:30:09.218,55.0169,55.0169,1,1,3.331867218,0,0,0,0,0
05/03/2021 17:30:10.218,56.0175,56.0175,1,1,3.331756592,0,0,0,0,0
05/03/2021 17:30:11.218,57.0175,57.0175,1,1,3.332305908,0,0,0,0,0
05/03/2021 17:30:12.219,58.0182,58.0182,1,1,3.332637787,0,0,0,0,0
05/03/2021 17:30:13.219,59.0182,59.0182,1,1,3.331867218,0,0,0,0,0
05/03/2021 17:30:14.201,60.0005,60.0005,1,1,3.332084656,0,0,0,0,0
05/03/2021 17:30:14.205,60.0038,0.0008,2,2,3.331756592,0,0,0,0,0
05/03/2021 17:30:14.366,60.1653,0.0555,3,2,3.382266998,4.076439857,2.80196E-05,0,9.42135E-05,0
05/03/2021 17:30:24.367,70.1661,10.0563,3,2,3.402164459,9.900045395,0.027459607,0,0.093377292,0
05/03/2021 17:30:34.367,80.1665,20.0567,3,2,3.405151367,9.90007782,0.054896709,0,0.186770365,0
